id,question,slug,event_id,event_slug
255148.0,Will a Democrat win Minnesota in the 2024 US Presidential Election?,will-a-democrat-win-minnesota-in-the-2024-us-presidential-election,903666.0,minnesota-presidential-election-winner
255207.0,Will a candidate from another party win Wisconsin Presidential Election?,will-a-candidate-from-another-party-win-wisconsin-presidential-election,903683.0,wisconsin-presidential-election-winner
253726.0,Will Vivek Ramaswamy win the popular vote in the 2024 Presidential Election?,will-vivek-ramaswamy-win-the-popular-vote-in-the-2024-presidential-election,903216.0,presidential-election-popular-vote-winner-2024
502005.0,Will another candidate Win the 2024 Venezuela presidential election?,will-another-candidate-win-the-2024-venezuela-presidential-election-ites,10857.0,venezuela-election-winner
500691.0,Will a candidate from another party win Minnesota US Senate Election?,will-a-candidate-from-another-party-win-minnesota-us-senate-election,10242.0,minnesota-us-senate-election-winner
501439.0,Will Greg Abbott win the 2024 Republican VP nomination?,will-greg-abbott-win-the-2024-republican-vp-nomination,10588.0,republican-vp-supplemental
512816.0,Will Fine Gael win the most seats in the 2024 Irish general election?,will-fine-gael-win-the-most-seats-in-the-2024-irish-general-election,14372.0,2024-irish-general-election
254112.0,Will JD Vance win the 2024 Republican VP nomination?,will-jd-vance-win-the-2024-republican-vp-nomination,903287.0,republican-vp-nominee
255348.0,Will a candidate from another party win North Carolina Governor Election?,will-a-candidate-from-another-party-win-north-carolina-governor-election,903757.0,north-carolina-governor-election-winner
255045.0,Will a Republican win Alaska Presidential Election?,will-a-republican-win-alaska-in-the-2024-us-presidential-election,903635.0,alaska-presidential-election-winner
253609.0,Will Michelle Obama win the 2024 US Presidential Election?,will-michelle-obama-win-the-2024-us-presidential-election,903193.0,presidential-election-winner-2024
255068.0,Will a Republican win New Hampshire in the 2024 US Presidential Election?,will-a-republican-win-new-hampshire-in-the-2024-us-presidential-election,903640.0,new-hampshire-presidential-election-winner
501445.0,Will Mike Lee win the 2024 Republican VP nomination?,will-mike-lee-win-the-2024-republican-vp-nomination,10588.0,republican-vp-supplemental
255061.0,Will a Republican win California Presidential Election?,will-a-republican-win-california-in-the-2024-us-presidential-election,903639.0,california-presidential-election-winner
500687.0,Will a Republican win Nebraska US Senate Election?,will-a-republican-win-nebraska-us-senate-election,10241.0,nebraska-us-senate-election-winner
503513.0,Will Michigan be the tipping point state?,will-michigan-be-the-tipping-point-state,11524.0,us-election-tipping-point-state
501767.0,Will Robert Jenrick be next UK prime minister?,will-robert-jenrick-be-next-uk-prime-minister,10740.0,uk-election-next-prime-minister
